"Famiglia","Checkbox","Selezionata","Tipo","Atteso","Presente","Esito"
"Classici","highest-match-score","True","Sezione","puntiSquadraMax","True","OK"
"Classici","lowest-match-score","True","Sezione","puntiSquadraMin","True","OK"
"Classici","most-regulation-goals","True","Sezione","partitePiuGolRegolamentari","True","OK"
"Classici","largest-regulation-margin","True","Sezione","partitePiuScartoRegolamentari","True","OK"
"Classici","average-points","True","Sezione","mediaPuntiSquadre","True","OK"
"Classici","total-points","True","Sezione","totalePuntiSquadre","True","OK"
"Classici","standings-points","True","Sezione","puntiClassificaSquadre","True","OK"
"Classici","wins","True","Sezione","vittorieSquadre","True","OK"
"Classici","draws","True","Sezione","pareggiSquadre","True","OK"
"Classici","losses","True","Sezione","sconfitteSquadre","True","OK"
"Classici","goals-for","True","Sezione","golFattiSquadre","True","OK"
"Classici","goals-against","True","Sezione","golSubitiSquadre","True","OK"
"Classici","yellow-cards-team","True","Sezione","ammonizioniSquadre","True","OK"
"Classici","red-cards-team","True","Sezione","espulsioniSquadre","True","OK"
"Classici","red-cards-player","True","Sezione","espulsioniGiocatori","True","OK"
"Classici","assists-team","True","Sezione","assistSquadre","True","OK"
"Classici","own-goals-team","True","Sezione","autogolSquadre","True","OK"
"Classici","penalties-scored","True","Sezione","golRigoreSquadre","True","OK"
"Classici","penalties-missed","True","Sezione","rigoriSbagliatiSquadre","True","OK"
"Classici","penalties-saved","True","Sezione","rigoriParatiSquadre","True","OK"
"Classici","clean-sheets","True","Sezione","cleanSheetPortiereVolteSquadre","True","OK"
"Serie","wins","True","Sezione","serieVittorie","True","OK"
"Serie","draws","True","Sezione","seriePareggi","True","OK"
"Serie","losses","True","Sezione","serieSconfitte","True","OK"
"Serie","unbeaten","True","Sezione","serieSenzaSconfitte","True","OK"
"Serie","winless","True","Sezione","serieSenzaVittorie","True","OK"
"Serie","clean-sheets","True","Sezione","cleanSheetPortiereSerieSquadre","True","OK"
"Serie modificatori","modm1pers.series","True","Sezione","modDifesaSerieSquadre","True","OK"
"Serie modificatori","modm2pers.series","True","Sezione","capitanoSerieSquadre","True","OK"
"Serie modificatori","modm3pers.series","False","Sezione","modPersonalizzato3SerieSquadre","False","OK"
"Serie modificatori","modportiere.series","False","Sezione","modPortiereFcmSerieSquadre","False","OK"
"Serie modificatori","moddifesa.series","True","Sezione","modDifesaFcmSerieSquadre","True","OK"
"Serie modificatori","modcentrocampo.series","False","Sezione","modCentrocampoFcmSerieSquadre","False","OK"
"Serie modificatori","modattacco.series","False","Sezione","modAttaccoFcmSerieSquadre","False","OK"
"Serie modificatori","modmodulo.series","False","Sezione","modModuloFcmSerieSquadre","False","OK"
"Modificatori","modm1pers.max","True","Sezione","modDifesaMax","True","OK"
"Modificatori","modm1pers.total","True","Sezione","modDifesaTotaleSquadre","True","OK"
"Modificatori","modm1pers.average","True","Sezione","modDifesaMediaSquadre","True","OK"
"Modificatori","modm1pers.uses","True","Sezione","modDifesaUtilizziSquadre","True","OK"
"Modificatori","modm2pers.max","False","Sezione","capitanoMax","False","OK"
"Modificatori","modm2pers.total","True","Sezione","capitanoTotaleSquadre","True","OK"
"Modificatori","modm2pers.average","False","Sezione","capitanoMediaSquadre","False","OK"
"Modificatori","modm2pers.uses","True","Sezione","capitanoUtilizziSquadre","True","OK"
"Modificatori","modm3pers.max","False","Sezione","modPersonalizzato3Max","False","OK"
"Modificatori","modm3pers.total","False","Sezione","modPersonalizzato3TotaleSquadre","False","OK"
"Modificatori","modm3pers.average","False","Sezione","modPersonalizzato3MediaSquadre","False","OK"
"Modificatori","modm3pers.uses","False","Sezione","modPersonalizzato3UtilizziSquadre","False","OK"
"Modificatori","modportiere.max","False","Sezione","modPortiereFcmMax","False","OK"
"Modificatori","modportiere.total","False","Sezione","modPortiereFcmTotaleSquadre","False","OK"
"Modificatori","modportiere.average","False","Sezione","modPortiereFcmMediaSquadre","False","OK"
"Modificatori","modportiere.uses","False","Sezione","modPortiereFcmUtilizziSquadre","False","OK"
"Modificatori","moddifesa.max","True","Sezione","modDifesaFcmMax","True","OK"
"Modificatori","moddifesa.total","True","Sezione","modDifesaFcmTotaleSquadre","True","OK"
"Modificatori","moddifesa.average","True","Sezione","modDifesaFcmMediaSquadre","True","OK"
"Modificatori","moddifesa.uses","True","Sezione","modDifesaFcmUtilizziSquadre","True","OK"
"Modificatori","modcentrocampo.max","False","Sezione","modCentrocampoFcmMax","False","OK"
